category,year,brand,n_users,unique_users,purchase_count,product_count,avg_price,avg_rating,waterproof_share,party_share,voice_assistant_share,market_size,market_purchases,category_year_total_purchases,user_share,brand_share,log_brand_share,raw_brand_share,provided_dprime,provided_revenue,provided_elasticity,provided_markup,provided_marginal_cost,provided_profit
bluetooth_speakers,2015,Anker,79,79,79,1.0,63.32987341772152,4.529113924050633,0.0,0.0,0.0,20029,20029,20029,0.003944280792850367,0.0109312301093123,-4.516131438815959,0.003944280792850367,-4.986486719387564,5228.3981388753555,-3.8235024455025473,16.556379199059016,46.773494218662506,1366.86428567299
bluetooth_speakers,2015,Bose,4212,4212,4212,1.0,141.1898551756885,4.533974358974358,0.0,0.0,0.0,20029,20029,20029,0.21029507214538917,0.5828144458281445,-0.539886418029115,0.21029507214538917,-112.44561855144612,292006.078888253,-6.758299899526688,18.39271587256476,122.79713930312374,38039.45287266054
bluetooth_speakers,2015,JBL,2832,2832,2832,1.0,78.03533192090396,4.3835098870056495,0.00035310734463276836,0.0,0.0,20029,20029,20029,0.14139497728293973,0.39186384391863843,-0.9368408364693707,0.14139497728293973,-224.28379733115563,382256.7786234687,-4.061194838382813,21.84067282316344,56.19465909774051,106986.73319944133
bluetooth_speakers,2015,OontZ,104,104,104,1.0,45.456538461538464,3.6596153846153845,0.0,0.0,0.9038461538461539,20029,20029,20029,0.005192470917170103,0.014390480143904802,-4.241188392141608,0.005192470917170103,-7.19399513032494,5424.2048078645885,-2.7409716477427435,16.587066236397227,28.869472225141237,1979.289393185113
bluetooth_speakers,2016,Anker,2982,2982,2982,1.0,37.25485915492958,4.679376257545272,0.0,0.0,0.0,26429,26429,26429,0.11283060274698248,0.22182548538272706,-1.505864308129569,0.11283060274698248,-121.67044785627319,81504.1702481859,-2.0033581502026174,17.980915410873273,19.273943744056304,39337.67632220739
bluetooth_speakers,2016,Bose,5008,5008,5008,1.0,139.0765035942492,4.538218849840256,0.0,0.0,0.0,26429,26429,26429,0.1894888191002308,0.372535892285948,-0.9874218906743184,0.1894888191002308,-180.84978021407713,476697.85880223213,-6.832535440040921,18.95271587262516,120.12378772162404,64962.22468552968
bluetooth_speakers,2016,DOSS,1,1,1,1.0,67.98,4.2,0.0,0.0,0.0,26429,26429,26429,3.7837224261228196e-05,7.438815740534106e-05,-9.506213803454253,3.7837224261228196e-05,-1.5502060445364987,1739.2328578003153,-4.1203475131542575,16.503921351621926,51.47607864837808,422.244223261151
bluetooth_speakers,2016,JBL,5361,5361,5361,1.0,93.27042529378848,4.484760305913076,0.13094571908226077,0.0,0.0,26429,26429,26429,0.20284535926444436,0.39879491185003346,-0.9193079996267151,0.20284535926444436,-211.15379256503948,385010.38779592916,-4.506668926480491,19.54922764420419,73.72119764958428,80697.13087184998
bluetooth_speakers,2016,OontZ,91,91,91,1.0,51.715274725274725,3.8714285714285714,0.0,0.0,0.10989010989010989,26429,26429,26429,0.003443187407771766,0.006769322323886037,-4.9953542969374025,0.003443187407771766,-1.9185357977278266,1637.858486819699,-3.1238488884077715,16.50774046392209,35.207534261352635,522.8115476651975
bluetooth_speakers,2017,Anker,6437,6437,6437,1.0,38.56026099114494,4.667531458754079,0.18440267205219824,0.16280876184558024,0.0,29702,29702,29702,0.21671941283415258,0.4021616893664875,-0.9109010588743758,0.21671941283415258,-375.81469194462886,340124.3518901278,-1.8307390562124841,23.47059007191161,15.089670919233335,207024.51258099676
bluetooth_speakers,2017,Bose,3310,3310,3310,1.0,168.2672930513595,4.528398791540785,0.036858006042296075,0.0,0.0,29702,29702,29702,0.1114403070500303,0.2067974509558915,-1.576015462555883,0.1114403070500303,-57.36820299895388,164600.3216370911,-9.062654757914949,17.05138753957784,151.21590551178167,16679.794524991456
bluetooth_speakers,2017,DOSS,349,349,349,1.0,41.19300859598854,4.582808022922635,0.9570200573065902,0.0,0.0,29702,29702,29702,0.01175005050164972,0.02180432337873297,-3.8256470087245646,0.01175005050164972,-13.276755309297702,9085.086172597812,-2.4675129020488265,16.61168117572648,24.581327420262056,3663.6934299548293
bluetooth_speakers,2017,JBL,5621,5621,5621,1.0,94.47157445294431,4.547802882049457,0.36541540651129695,0.0010674257249599715,0.0,29702,29702,29702,0.1892465153861693,0.351180807197301,-1.0464540679249166,0.1892465153861693,-285.5728892968509,554755.1428616196,-4.64257679271168,20.56284529827524,73.90872915466908,120748.95805582225
